zip_code,county_code,city,state,county_name,gender,marital_status,age,income,median_income,education_code,occupation,num_in_hhld,num_of_adults,num_of_children,child0_3,child4_6,child7_9,child10_11,child13_18,children,home_owner,dwelling_type,year_structure,median_home_value,len_of_residence,great_outdoors,sporting_life,health_fitness,luxury_life,doit_yourselfer,truck_owner,motor_cycle,sports,entertainment_enth,hobbyists,avid_readers,collectors,travel,pets,music,toys,art_craft,gardening,family,food,cars,casino_gambling,contributors,travel_business,travel_personal,travel_vacation,donor_arts_or_cultural,contributor_index,AAPPAREL,ACASHCONT,AEDUCATN,AENTRTAIN,AFOODTOTL,AGTOTALE,AHEALTH,AHOUSING,AINSPENSN,AREADING,ATRANS
81505,77,Grand Junction,CO,Mesa,F,M,0,N,89,,0,6,5,1,,,,1,,1,Y,S,1976,489,8,1,1,1,1,,,,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,,,1,,6,2071.27,1945.88,889.4,3115.43,6900.57,1066.53,4373.3,18035.29,4898.17,99.85,10566.54
90807,37,Long Beach,CA,Los Angeles,M,M,47,N,85,2,16,7,2,5,,1,1,1,,1,Y,S,1940,575,15,1,1,1,1,1,,,1,1,1,1,,1,1,1,,1,1,1,1,,,1,1,1,1,,6,1932.9,2156.21,1514.65,2911.3,7691.14,1261.63,4035.95,22567.48,6660.5,118.71,12170.93
90068,37,Los Angeles,CA,Los Angeles,M,S,56,G,255,,0,4,3,1,,1,,,,1,Y,S,1922,639,6,1,1,,1,1,,,1,,1,1,,1,,1,,,1,,1,1,,,,,1,,9,1777.76,1697.91,1414.04,2879.37,7379.6,1179.19,3548.44,22899.23,6491.53,120.86,11279.74
10573,119,Rye Brook,NY,Westchester,F,M,72,L,154,,0,3,2,1,,,,,,1,Y,S,1955,866,2,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,5,2075.55,1743.11,1822.44,2516.05,7090.68,1215.59,4220.49,22695.95,6854.77,115.26,11630.55
95618,113,El Macero,CA,Yolo,F,M,43,N,78,,0,5,2,1,,,,,,1,W,S,,270,0,,1,1,,1,,,1,1,1,1,,1,1,1,,,1,,1,,,1,1,1,1,,3,1992.1,2041.92,1713.14,2910.36,7565.7,1217.29,3780.36,22703.76,6904.34,113.01,11579.15
94306,85,Palo Alto,CA,Santa Clara,F,,0,O,185,,0,1,1,0,,,,,,,Y,A,1987,0,5,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,2167.11,3053.42,1755.66,3227.73,8079.59,1567.97,4593.89,24264.38,7645.78,131.27,12885.72
96825,3,Honolulu,HI,Honolulu,M,M,30,N,79,2,48,4,3,0,,,,,,,Y,S,1979,618,15,,,1,,,,,,,,1,,1,,,,,,,,,,1,,,1,,2,3040.57,2261.27,1535.14,2625.42,10610.5,1610.12,5149.79,21903.06,8773.25,166.34,15151.32
11768,103,Northport,NY,Suffolk,M,M,90,O,255,,0,6,2,4,,,1,1,,1,Y,S,,704,15,1,,1,1,,,,,,1,1,,1,,,,1,1,,1,,,,1,,1,,1,2503.43,2784.64,2565.99,3240.92,8442.93,1752.55,5615.69,25974.15,9817.66,158.27,14638.36
91361,37,Westlake Village,CA,Los Angeles,M,S,42,L,100,1,6,1,1,0,,,,,,,R,A,1953,861,13,,1,1,,1,,,1,1,,1,,1,1,1,,,1,,,1,,1,,1,1,,7,2035.19,2624.2,1745.9,3314.46,7890.16,1768.63,5004.17,24317,7281.3,142.81,12963.54
80246,31,Denver,CO,Denver,M,M,31,O,178,,0,4,3,1,,,1,,,1,Y,S,1958,999,3,1,1,1,1,1,,,1,1,1,1,,1,1,1,,1,1,1,1,1,,1,1,,1,,5,1827.23,1389.7,858.84,2747.09,6437.99,769.63,3298.78,16550.77,4504.44,76.27,9992.13
10594,119,Thornwood,NY,Westchester,M,S,67,N,109,,0,1,1,0,,,,,,,Y,S,1900,594,15,1,1,1,1,1,,,1,1,1,1,1,1,,1,,1,1,,1,1,,1,,,1,,5,2372.81,2353.34,2498.64,3134.11,8198.32,1616.51,5426.85,25801.78,9175.36,151.45,14315.39
